test,suite,a100,h100,gh200,gb10
two_2w_TB_0_1_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
two_2w_TB_0_1_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
two_2w_TB_0_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
two_2w_TB_0_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,core,not seen,not seen,not seen,not seen
two_2w_TB_0_1_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,core,not seen,not seen,not seen,not seen
two_2w_TB_0_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
two_2w_TB_0_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,core,seen,seen,seen,seen
two_2w_TB_0_1_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,core,seen,seen,seen,not seen
two_2w_TB_0_1_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
two_2w_TB_0_1_SCOPE_BLOCK_NO_FENCE_RELEASE,core,seen,seen,seen,seen
two_2w_TB_0_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
two_2w_TB_0_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,core,seen,seen,seen,not seen
two_2w_TB_0_1_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,core,seen,seen,seen,not seen
two_2w_TB_0_1_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,seen,seen,seen,seen
two_2w_TB_0_1_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,core,seen,seen,seen,seen
two_2w_TB_0_1_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,core,seen,seen,seen,seen
two_2w_TB_01_SCOPE_DEVICE_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_NO_FENCE_RELAXED,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_BOTH_FENCE,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_BOTH_FENCE,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,core,not seen,not seen,not seen,not seen
two_2w_TB_01_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,core,seen,seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_NO_FENCE_RELEASE,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,core,seen,seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,core,seen,seen,not seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,core,seen,seen,seen,not seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,core,seen,seen,seen,seen
three_2w_TB_0_1_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_NO_FENCE_RELEASE,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,core,seen,seen,seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_02,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_12,core,not seen,not seen,not seen,not seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_ALL_FENCE,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_0,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_1,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_2,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_01,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_02,core,seen,seen,seen,seen
three_2w_TB_01_2_SCOPE_BLOCK_FENCE_SCOPE_BLOCK_FENCE_12,core,seen,seen,seen,seen
three_2w_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELAXED,core,seen,seen,seen,seen
three_2w_TB_0_12_SCOPE_DEVICE_NO_FENCE_RELEASE,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_0,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_2,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_01,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_02,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_DEVICE_FENCE_12,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_ALL_FENCE,core,seen,seen,seen,seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_0,core,seen,seen,seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_1,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_2,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_01,core,seen,seen,seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_02,core,seen,seen,seen,not seen
three_2w_TB_0_12_SCOPE_DEVICE_FENCE_SCOPE_BLOCK_FENCE_12,core,seen,seen,seen,not seen
three_2w_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELAXED,core,seen,seen,seen,seen
three_2w_TB_0_12_SCOPE_BLOCK_NO_FENCE_RELEASE,core,seen,seen,seen,seen
three_2w_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_ALL_FENCE,core,not seen,not seen,not seen,not seen
three_2w_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_0,core,seen,seen,seen,not seen
three_2w_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_1,core,seen,seen,seen,not seen
three_2w_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_2,core,seen,seen,seen,not seen
three_2w_TB_0_12_SCOPE_BLOCK_FENCE_SCOPE_DEVICE_FENCE_01,core,not seen,not seen,not seen,not seen
