Iteration: 0
  Test paper-example1-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-DISALLOWED weak: 0, total: 81000000, rate: 0 per second
  Test paper-example2-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 81000000, rate: 0 per second
  Test paper-example2-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-DISALLOWED weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 1802, total: 81000000, rate: 759 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 54, total: 81000000, rate: 23 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 39, total: 81000000, rate: 16 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 70, total: 81000000, rate: 30 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 32, total: 81000000, rate: 14 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 81000000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 1, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 3140, total: 80352000, rate: 1308 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 100, total: 80352000, rate: 42 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 98, total: 80352000, rate: 41 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 81, total: 80352000, rate: 34 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 92, total: 80352000, rate: 38 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 2, total: 80352000, rate: 1 per second
  Test iriw-TB_01_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 8, total: 80352000, rate: 3 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 246161, total: 80352000, rate: 102453 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 3490, total: 80352000, rate: 1458 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 3411, total: 80352000, rate: 1403 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 3049, total: 80352000, rate: 1274 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 3419, total: 80352000, rate: 1423 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 1, total: 80352000, rate: 0 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 9, total: 80352000, rate: 4 per second
  Test iriw-TB_01_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 81013, total: 80352000, rate: 35165 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 800, total: 80352000, rate: 337 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 800, total: 80352000, rate: 317 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 633, total: 80352000, rate: 269 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 751, total: 80352000, rate: 317 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 1, total: 80352000, rate: 0 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 4, total: 80352000, rate: 2 per second
  Test iriw-TB_0_1_23-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 80352000, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 0, rate: 0 per second
  Test iriw-TB_02_1_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 0, rate: 0 per second
