Iteration: 0
Iteration: 0
  Test paper-example1-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-DISALLOWED weak: 0, total: 19712000, rate: 0 per second
  Test paper-example2-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 3643, total: 19712000, rate: 11988 per second
  Test paper-example2-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-DISALLOWED weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 7651, total: 19712000, rate: 24670 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_DEVICE-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-NO_FENCE-RELAXED weak: 11004, total: 19712000, rate: 35526 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-NO_FENCE-ACQUIRE weak: 11, total: 19712000, rate: 36 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 9, total: 19712000, rate: 29 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 11, total: 19712000, rate: 36 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_BLOCK-BOTH_FENCE weak: 15, total: 19712000, rate: 48 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_1_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-THREAD_3_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_0_1_2_3-SCOPE_BLOCK-FENCE_SCOPE_DEVICE-BOTH_FENCE weak: 0, total: 19712000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-NO_FENCE-RELAXED weak: 42789, total: 19008000, rate: 136499 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-NO_FENCE-ACQUIRE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_1_FENCE weak: 0, total: 19008000, rate: 0 per second
  Test iriw-TB_01_2_3-SCOPE_DEVICE-FENCE_SCOPE_BLOCK-THREAD_3_FENCE weak: 0, total: 19008000, rate: 0 per second
